Package,Parallelism,T,N,Time,Speedup
monad-par,partial,1,1,0.33,1.0
monad-par,partial,1,2,0.32,1.03125
monad-par,partial,1,4,0.33,1.0
monad-par,partial,1,8,0.321,1.0280373831775702
monad-par,total,1,1,0.36,1.0
monad-par,total,1,2,0.32,1.125
monad-par,total,1,4,0.28,1.2857142857142856
monad-par,total,1,8,0.291,1.2371134020618557
parallel,partial,1,1,0.33,1.0
parallel,partial,1,2,0.33,1.0
parallel,partial,1,4,0.35,0.942857142857143
parallel,partial,1,8,0.341,0.967741935483871
parallel,total,1,1,0.33,1.0
parallel,total,1,2,0.3,1.1
parallel,total,1,4,0.28,1.1785714285714286
parallel,total,1,8,0.261,1.264367816091954
monad-par,partial,2,1,2.95,1.0
monad-par,partial,2,2,2.87,1.0278745644599303
monad-par,partial,2,4,2.95,1.0
monad-par,partial,2,8,2.992,0.9859625668449199
monad-par,total,2,1,2.9,1.0
monad-par,total,2,2,1.6,1.8124999999999998
monad-par,total,2,4,0.98,2.9591836734693877
monad-par,total,2,8,0.691,4.196816208393632
parallel,partial,2,1,3.01,1.0
parallel,partial,2,2,2.93,1.0273037542662116
parallel,partial,2,4,3.07,0.9804560260586319
parallel,partial,2,8,3.191,0.9432779692886243
parallel,total,2,1,2.92,1.0
parallel,total,2,2,1.66,1.7590361445783134
parallel,total,2,4,1.0,2.92
parallel,total,2,8,0.631,4.627575277337559
monad-par,partial,4,1,4.9,1.0
monad-par,partial,4,2,3.121,1.570009612303749
monad-par,partial,4,4,2.921,1.6775077028414929
monad-par,partial,4,8,3.011,1.6273663234805713
monad-par,total,4,1,4.87,1.0
monad-par,total,4,2,2.59,1.8803088803088805
monad-par,total,4,4,1.49,3.2684563758389262
monad-par,total,4,8,0.97,5.020618556701031
parallel,partial,4,1,4.92,1.0
parallel,partial,4,2,3.0,1.64
parallel,partial,4,4,2.96,1.662162162162162
parallel,partial,4,8,2.991,1.6449348044132397
parallel,total,4,1,4.87,1.0
parallel,total,4,2,2.59,1.8803088803088805
parallel,total,4,4,1.471,3.310673011556764
parallel,total,4,8,0.911,5.345773874862788
monad-par,partial,8,1,5.82,1.0
monad-par,partial,8,2,3.09,1.8834951456310682
monad-par,partial,8,4,3.18,1.830188679245283
monad-par,partial,8,8,3.001,1.9393535488170612
monad-par,total,8,1,5.76,1.0
monad-par,total,8,2,3.05,1.8885245901639345
monad-par,total,8,4,1.75,3.2914285714285714
monad-par,total,8,8,1.241,4.6414182111200635
parallel,partial,8,1,5.77,1.0
parallel,partial,8,2,3.21,1.7975077881619936
parallel,partial,8,4,2.9,1.989655172413793
parallel,partial,8,8,3.171,1.8196152633238725
parallel,total,8,1,5.78,1.0
parallel,total,8,2,3.03,1.9075907590759078
parallel,total,8,4,1.71,3.3801169590643276
parallel,total,8,8,1.051,5.499524262607041
monad-par,partial,16,1,13.49,1.0
monad-par,partial,16,2,7.96,1.6947236180904524
monad-par,partial,16,4,4.851,2.7808699237270664
monad-par,partial,16,8,4.501,2.9971117529437903
monad-par,total,16,1,13.55,1.0
monad-par,total,16,2,6.991,1.938206265198112
monad-par,total,16,4,3.84,3.5286458333333335
monad-par,total,16,8,2.5,5.42
parallel,partial,16,1,13.49,1.0
parallel,partial,16,2,7.3,1.847945205479452
parallel,partial,16,4,5.14,2.624513618677043
parallel,partial,16,8,3.131,4.308527626956244
parallel,total,16,1,13.49,1.0
parallel,total,16,2,6.94,1.9438040345821326
parallel,total,16,4,3.751,3.596374300186617
parallel,total,16,8,2.111,6.390336333491236
monad-par,partial,32,1,28.03,1.0
monad-par,partial,32,2,14.29,1.9615115465360393
monad-par,partial,32,4,8.8,3.1852272727272726
monad-par,partial,32,8,6.131,4.571847985646714
monad-par,total,32,1,28.02,1.0
monad-par,total,32,2,14.29,1.9608117564730583
monad-par,total,32,4,7.71,3.6342412451361867
monad-par,total,32,8,4.651,6.024510857880026
parallel,partial,32,1,28.02,1.0
parallel,partial,32,2,14.43,1.9417879417879418
parallel,partial,32,4,8.251,3.395952005817477
parallel,partial,32,8,7.201,3.891126232467713
parallel,total,32,1,28.02,1.0
parallel,total,32,2,14.26,1.964936886395512
parallel,total,32,4,7.57,3.701453104359313
parallel,total,32,8,4.171,6.717813473987053
monad-par,partial,64,1,77.43,1.0
monad-par,partial,64,2,39.12,1.9792944785276076
monad-par,partial,64,4,21.831,3.5467912601346714
monad-par,partial,64,8,13.161,5.883291543195806
monad-par,total,64,1,77.41,1.0
monad-par,total,64,2,39.33,1.9682176455631832
monad-par,total,64,4,20.911,3.7018793936205823
monad-par,total,64,8,12.07,6.413421706710853
parallel,partial,64,1,77.45,1.0
parallel,partial,64,2,40.8,1.8982843137254903
parallel,partial,64,4,21.1,3.670616113744076
parallel,partial,64,8,14.831,5.2221697795158795
parallel,total,64,1,78.48,1.0
parallel,total,64,2,39.46,1.9888494678155095
parallel,total,64,4,20.67,3.7968069666182873
parallel,total,64,8,11.501,6.82375445613425
monad-par,partial,128,1,144.74,1.0
monad-par,partial,128,2,75.4,1.919628647214854
monad-par,partial,128,4,39.93,3.6248434760831456
monad-par,partial,128,8,23.561,6.1432027503077125
monad-par,total,128,1,144.57,1.0
monad-par,total,128,2,73.42,1.9690819940070825
monad-par,total,128,4,38.951,3.7115863520833865
monad-par,total,128,8,21.891,6.604083870083596
parallel,partial,128,1,144.69,1.0
parallel,partial,128,2,73.22,1.9760994263862333
parallel,partial,128,4,42.161,3.43184459571642
parallel,partial,128,8,26.261,5.509691177030578
parallel,total,128,1,145.64,1.0
